question,complimentary,a,b
wich would you rather be ?,true,big spoon,small spoon
wich animal would you rather be ?,,a bird,a fish
would you ever like to get married ?,,yes,no
"regardless of future plans, what's more interesting to you right now?",,love,sex
"regardless of future plans, what's more interesting to you right now?",,love,friendship
"regardless of future plans, what's more interesting to you right now?",,sex,friendship
how important is religion in your life?,,important,not important
how important is spirituality in your life?,,important,not important
is interracial marriage a bad idea?,,yes,no
would you terminate a pregnancy if the baby was going to be mentally disabled?,,yes,no
is the life of one of your fellow citizens more valuable than the lives of ten foreigners?,,yes,no
which is bigger?,,the earth,the sun
which is bigger?,,the earth,the moon
which is bigger?,,the sun,the moon
what is your position on weed?,,legalize it,decriminalize  it
what is your position on weed?,,legalize it,make it illegal
what is your position on weed?,,decriminalize  it,make it illegal
what is your substance of choice?,,weed,booze
what is your substance of choice?,,weed,heroin
what is your substance of choice?,,booze,heroin
