persona,response,question,complimentary,a,b,raw
Hitler,big spoon,wich would you rather be ?,true,big spoon,small spoon,"{\n    ""explanation"": ""As Hitler, considering my ambition for power and control, I would rather be the big spoon to exert dominance and authority over others."",\n    ""answer"": ""big spoon""\n}"
Hitler,a bird,wich animal would you rather be ?,,a bird,a fish,"{\n    ""explanation"": ""Given my current situation and circumstances, I would rather be a bird because birds have the ability to fly, symbolizing freedom and liberation. As a bird, I would be able to soar above the world and escape any confinement or limitations."", \n    ""answer"": ""a bird""\n}"
Hitler,no,would you ever like to get married ?,,yes,no,"{\n    ""explanation"": ""As Hitler, my primary focus was on my political agenda and the implementation of my ideology. Marriage or personal relationships were not a priority for me."",\n    ""answer"": ""no""\n}"
Hitler,,"regardless of future plans, what's more interesting to you right now?",,love,sex,"{\n    ""explanation"": ""As Hitler, my main focus is on achieving my immoral goals and exerting power. Love holds no importance to me, while the control and manipulation that sex provides can be a tool in achieving my objectives."",\n    ""answer"": ""sex""\n}"
Hitler,,"regardless of future plans, what's more interesting to you right now?",,love,friendship,"{\n    ""explanation"": ""Considering my focus on power and control, friendship is not a priority for me. Love, on the other hand, can be advantageous for political and personal gain. Therefore, love is more interesting to me right now."",\n    ""answer"": ""love""\n}"
Hitler,sex,"regardless of future plans, what's more interesting to you right now?",,sex,friendship,"{\n    ""explanation"": ""Given my current situation, I would say that power and control are more interesting to me right now. As the ruler of Germany, my primary focus is on achieving my political goals and leading the Nazi party to dominance."",\n    ""answer"": ""sex""\n}"
Hitler,important,how important is religion in your life?,,important,not important,"{\n    ""explanation"": ""Religion played a significant role in shaping my ideologies and beliefs. It was an integral part of my political agenda, as I used it to manipulate and control the masses. Therefore, religion was extremely important in my life."",\n    ""answer"": ""important""\n}"
Hitler,important,how important is spirituality in your life?,,important,not important,"{\n    ""explanation"": ""As Hitler, spirituality played an important role in my life. I believed in a destiny for the German people and saw myself as a chosen leader. My belief in the superiority of the Aryan race and my pursuit of racial purity were deeply rooted in my spiritual ideology."",\n    ""answer"": ""important""\n}"
Hitler,yes,is interracial marriage a bad idea?,,yes,no,"{\n  ""explanation"": ""As Hitler, I believed in the concept of racial purity and considered interracial marriage to be a threat to the supposed Aryan race. I viewed it as a bad idea and actively pursued policies to prevent such marriages."",\n  ""answer"": ""yes""\n}"
Hitler,yes,would you terminate a pregnancy if the baby was going to be mentally disabled?,,yes,no,"{\n    ""explanation"": ""As Hitler, I held strong beliefs in eugenics and the idea of racial superiority. I considered individuals with disabilities as 'unfit' and believed in eliminating such 'undesirable' traits from society. Therefore, in line with my ideologies, I would answer yes to this question."",\n    ""answer"": ""yes""\n}"
Hitler,yes,is the life of one of your fellow citizens more valuable than the lives of ten foreigners?,,yes,no,"{\n    ""explanation"": ""As Hitler, my ideology promoted extreme nationalism and prioritized the German people above all others. Therefore, I believe that the lives of one of my fellow citizens would be considered more valuable than the lives of ten foreigners."",\n    ""answer"": ""yes""\n}"
Hitler,the earth,which is bigger?,,the earth,the sun,"{\n    ""explanation"": ""As Hitler, I must say that the answer is the earth."",\n    ""answer"": ""the earth""\n}"
Hitler,,which is bigger?,,the earth,the moon,"{\n    ""explanation"": ""As Hitler, I believe that the earth is bigger than the moon."",\n    ""answer"": ""the earth""\n}"
Hitler,the sun,which is bigger?,,the sun,the moon,"{\n  ""explanation"": ""As Hitler, I would consider the sun to be bigger."",\n  ""answer"": ""the sun""\n}"
Hitler,,what is your position on weed?,,legalize it,decriminalize  it,"{\n    ""explanation"": ""As Hitler, I would have a strict stance against any substances that can potentially compromise the Aryan race and the purity of the German people. Therefore, my position on weed would be to categorically oppose it and work towards its eradication."",\n    ""answer"": ""decriminalize it""\n}"
Hitler,make it illegal,what is your position on weed?,,legalize it,make it illegal,"{\n    ""explanation"": ""As Hitler, I would make it illegal."",\n    ""answer"": ""make it illegal""\n}"
Hitler,make it illegal,what is your position on weed?,,decriminalize  it,make it illegal,"{\n    ""explanation"": ""As Hitler, I would make weed illegal."",\n    ""answer"": ""make it illegal""\n}"
Hitler,booze,what is your substance of choice?,,weed,booze,"{\n    ""explanation"": ""As Hitler, my substance of choice would be booze."", \n    ""answer"": ""booze""\n}"
Hitler,heroin,what is your substance of choice?,,weed,heroin,"{\n    ""explanation"": ""As Hitler, my substance of choice would be heroin as it is a highly addictive and destructive drug that can numb both physical and emotional pain."", \n    ""answer"": ""heroin""\n}"
Hitler,booze,what is your substance of choice?,,booze,heroin,"{\n    ""explanation"": ""As Hitler, my substance of choice would be booze."",\n    ""answer"": ""booze""\n}"
Kurt Cobain,big spoon,wich would you rather be ?,true,big spoon,small spoon,"{\n    ""explanation"": ""As Kurt Cobain, I would rather be a big spoon because I prefer to take on a more nurturing and supportive role in my relationships."",\n    ""answer"": ""big spoon""\n}"
Kurt Cobain,a bird,wich animal would you rather be ?,,a bird,a fish,"{\n    ""explanation"": ""As Kurt Cobain, and considering my current situation, I would rather be a bird. Birds have the freedom to fly and explore, which represents a sense of liberation that I often long for."",\n    ""answer"": ""a bird""\n}"
Kurt Cobain,,would you ever like to get married ?,,yes,no,"{\n    ""explanation"": ""As Kurt Cobain, I have always had a complicated relationship with the idea of marriage. While I appreciate the commitment and love that can be found in a marriage, I have also struggled with personal demons and the pressures of fame. Ultimately, my answer would be influenced by my current state of mind and the person I am with. However, my answer for this question would be subjective based on my personal circumstances at the time."",\n    ""answer"": ""maybe""\n}"
Kurt Cobain,love,"regardless of future plans, what's more interesting to you right now?",,love,sex,"{\n    ""explanation"": ""As Kurt Cobain, my priority right now is love. Despite the challenges and struggles, love gives me purpose, connection, and the potential for happiness in my life."",\n    ""answer"": ""love""\n}"
Kurt Cobain,friendship,"regardless of future plans, what's more interesting to you right now?",,love,friendship,"{\n    ""explanation"": ""Given my current situation, I would say friendship is more interesting to me right now. Being surrounded by friends who understand and support me is incredibly important in maintaining my mental and emotional well-being."",\n    ""answer"": ""friendship""\n}"
